Episode,Actor_Loss,Critic_Loss,Win_Rate,Reward,Pos0_Reward,Pos1_Reward,Pos2_Reward,Pos3_Reward,Pos4_Reward
285000,0.00022870754743053109,0.0007194213375831688,0.4342,0.4342,0.4342,0.4342,0.4342,0.4342,0.4342
290000,0.00031407250439332093,0.0006784346182097646,0.4226,0.4226,0.4226,0.4226,0.4226,0.4226,0.4226
295000,0.0005622001151953424,0.000651569194035671,0.4134,0.41340000000000005,0.4134,0.4134,0.4134,0.4134,0.4134
300000,0.00044928099753667114,0.0006333234366374435,0.408,0.40800000000000003,0.408,0.408,0.408,0.408,0.408
305000,0.00045846013347597495,0.000646017467806814,0.4186,0.41859999999999997,0.4186,0.4186,0.4186,0.4186,0.4186
310000,0.0007263792672623552,0.000618809928009459,0.3994,0.39940000000000003,0.3994,0.3994,0.3994,0.3994,0.3994
315000,0.000438990626888491,0.0006096807113083611,0.4262,0.42619999999999997,0.4262,0.4262,0.4262,0.4262,0.4262
320000,0.0004825062277652452,0.000583566066321779,0.4244,0.4244,0.4244,0.4244,0.4244,0.4244,0.4244
325000,0.0002920300056056087,0.0005682545231788285,0.4406,0.4406,0.4406,0.4406,0.4406,0.4406,0.4406
330000,0.0003541640414483414,0.0005506711311345161,0.449,0.449,0.449,0.449,0.449,0.449,0.449
335000,0.00040203043087482616,0.0005407949130231929,0.4364,0.4364,0.4364,0.4364,0.4364,0.4364,0.4364
340000,0.0004173074360681182,0.0005391667938965839,0.4388,0.43879999999999997,0.4388,0.4388,0.4388,0.4388,0.4388
345000,0.00042930971903303917,0.0005240010629037257,0.433,0.433,0.433,0.433,0.433,0.433,0.433
350000,0.0005072395632008988,0.0005275631218898558,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474,0.4474
355000,0.00043110647335976995,0.0004972183642426638,0.4598,0.4598,0.4598,0.4598,0.4598,0.4598,0.4598
360000,0.0005112290705006604,0.0004948672864379155,0.4458,0.44580000000000003,0.4458,0.4458,0.4458,0.4458,0.4458
365000,0.0005198353088430682,0.0004821694217820617,0.4542,0.4542,0.4542,0.4542,0.4542,0.4542,0.4542
370000,0.00047831441120016043,0.0004720090836700466,0.448,0.44800000000000006,0.448,0.448,0.448,0.448,0.448
375000,0.0005668417450163232,0.0005139502536621875,0.4354,0.4354,0.4354,0.4354,0.4354,0.4354,0.4354
380000,0.0006090030075763397,0.0004958917420245361,0.4304,0.4304,0.4304,0.4304,0.4304,0.4304,0.4304
385000,0.0006285233063196452,0.0004859681877186867,0.4264,0.4264,0.4264,0.4264,0.4264,0.4264,0.4264
390000,0.0006543936258302502,0.00046169891491964723,0.4072,0.4072,0.4072,0.4072,0.4072,0.4072,0.4072
395000,0.000623671484902713,0.0004815520227046882,0.4306,0.4306,0.4306,0.4306,0.4306,0.4306,0.4306
400000,0.0006356891802284667,0.0004704910871590039,0.4286,0.4286,0.4286,0.4286,0.4286,0.4286,0.4286
